date;time;type;value;unit
11/02/2015;17:43:10.611;volatile organic compounds;0.14;ppm
11/02/2015;17:43:16.801;carbon dioxide;585;ppm
11/02/2015;17:44:01.083;indoor relative humidity;28.0;%
11/02/2015;17:45:02.996;indoor relative humidity;28.0;%
11/02/2015;17:46:01.879;indoor relative humidity;28.0;%
11/02/2015;17:46:08.019;indoor temperature;21.6;°C
11/02/2015;17:46:12.629;volatile organic compounds;0.14;ppm
11/02/2015;17:46:17.510;carbon dioxide;591;ppm
11/02/2015;17:47:00.282;indoor relative humidity;28.0;%
11/02/2015;17:48:02.294;indoor relative humidity;28.0;%
11/02/2015;17:49:00.596;indoor relative humidity;28.0;%
11/02/2015;17:49:06.297;indoor temperature;21.7;°C
11/02/2015;17:49:12.137;volatile organic compounds;0.14;ppm
11/02/2015;17:49:15.427;carbon dioxide;591;ppm
11/02/2015;17:50:01.279;indoor relative humidity;28.0;%
11/02/2015;17:51:00.501;indoor relative humidity;28.0;%
11/02/2015;17:52:02.674;indoor relative humidity;28.0;%
11/02/2015;17:52:05.494;indoor temperature;21.7;°C
11/02/2015;17:52:11.434;volatile organic compounds;0.14;ppm
11/02/2015;17:52:16.515;carbon dioxide;591;ppm
11/02/2015;17:53:00.906;indoor relative humidity;28.0;%
11/02/2015;17:53:59.889;indoor relative humidity;28.0;%
11/02/2015;17:55:01.801;indoor relative humidity;28.0;%
11/02/2015;17:55:07.911;indoor temperature;21.8;°C
11/02/2015;17:55:11.521;volatile organic compounds;0.14;ppm
11/02/2015;17:55:16.742;carbon dioxide;591;ppm
11/02/2015;17:55:59.993;indoor relative humidity;28.0;%
11/02/2015;17:57:00.897;indoor relative humidity;28.0;%
11/02/2015;17:58:00.999;indoor relative humidity;28.0;%
11/02/2015;17:58:06.599;indoor temperature;21.8;°C
11/02/2015;17:58:11.810;volatile organic compounds;0.14;ppm
11/02/2015;17:58:17.920;carbon dioxide;591;ppm
11/02/2015;17:59:02.892;indoor relative humidity;28.0;%
11/02/2015;18:00:00.884;indoor relative humidity;28.0;%
11/02/2015;18:01:02.106;indoor relative humidity;28.0;%
11/02/2015;18:01:05.016;indoor temperature;21.9;°C
11/02/2015;18:01:10.916;volatile organic compounds;0.13;ppm
11/02/2015;18:01:17.027;carbon dioxide;591;ppm
11/02/2015;18:02:01.598;indoor relative humidity;28.0;%
11/02/2015;18:03:02.801;indoor relative humidity;28.0;%
11/02/2015;18:04:02.683;indoor relative humidity;28.0;%
11/02/2015;18:04:07.493;indoor temperature;21.8;°C
11/02/2015;18:04:10.233;volatile organic compounds;0.14;ppm
11/02/2015;18:04:15.384;carbon dioxide;591;ppm
11/02/2015;18:05:02.685;indoor relative humidity;28.0;%
11/02/2015;18:06:02.598;indoor relative humidity;28.0;%
11/02/2015;18:07:00.200;indoor relative humidity;28.0;%
11/02/2015;18:07:06.010;indoor temperature;21.6;°C
11/02/2015;18:07:12.211;volatile organic compounds;0.14;ppm
11/02/2015;18:07:15.241;carbon dioxide;591;ppm
11/02/2015;18:08:01.602;indoor relative humidity;28.0;%
11/02/2015;18:09:01.216;indoor relative humidity;28.0;%
11/02/2015;18:10:01.098;indoor relative humidity;28.0;%
11/02/2015;18:10:05.908;indoor temperature;21.7;°C
11/02/2015;18:10:10.828;volatile organic compounds;0.14;ppm
11/02/2015;18:10:17.319;carbon dioxide;597;ppm
11/02/2015;18:11:01.500;indoor relative humidity;28.0;%
11/02/2015;18:12:02.403;indoor relative humidity;28.0;%
11/02/2015;18:13:02.695;indoor relative humidity;28.0;%
11/02/2015;18:13:05.005;indoor temperature;21.6;°C
11/02/2015;18:13:10.825;volatile organic compounds;0.14;ppm
11/02/2015;18:13:16.715;carbon dioxide;600;ppm
11/02/2015;18:14:00.988;indoor relative humidity;28.0;%
11/02/2015;18:15:00.001;indoor relative humidity;28.0;%
11/02/2015;18:16:02.213;indoor relative humidity;28.0;%
11/02/2015;18:16:07.003;indoor temperature;21.5;°C
